Project name,Country,Partners,Project type,Announcement,Operation,Project Status,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Nucor Covent plant (LA),United States,"Nucor, ExxonMobil",Capture,2023,2026,Planned,0.8,0.8,Iron and steel,Dedicated storage,ExxonMobil Ascension Parish storage (TX),North America
Nutrien Redwater Fertilizer (ALB) phase 1,Canada,Nutrien (formerly Agrium),Capture,2011,2020,Operational,0.3,0.3,Chemicals,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility (ALB),North America
Nutrien Redwater Fertilizer (ALB) phase 2,Canada,Nutrien (formerly Agrium),Capture,2022,,Planned,,,Chemicals,EOR,Alberta Carbon Trunk Line (ACTL),North America
NWR Sturgeon Refinery (ALB),Canada,Northwest Redwater Partnership,Capture,2011,2020,Operational,1.3,1.3,Other fuel transformation,EOR,Alberta Carbon Trunk Line (ACTL)/Enhance Clive Sequestration Facility (ALB),North America
OCAP,Netherlands,OCAP (Linde),Transport,,2005,Operational,0.5,0.5,Transport,Use,,Europe & Central Asia
Oceania CCS (capture sources under evaluation),Japan,"Nippon steel, ExxonMobil, Mitsubishi",T&S,2023,,Planned,2,2,T&S,Dedicated storage,Oceania CCS,East Asia & Pacific
OCI Fertilizer plant phase 1 (IA),United States,"OCI, Enerflex (CO2 capture), Blackrock (funding), Navigor (T)",Capture,2021,2025,Under construction,0.45,0.45,Chemicals,Dedicated storage,Heartland Greenway,North America
OCI Fertilizer plant phase 2 (IA),United States,"OCI, Enerflex (CO2 capture), Blackrock (funding), Navigor (T)",Capture,2021,,Planned,0.25,0.25,Chemicals,Dedicated storage,Heartland Greenway,North America
Offshore Malay CCS (capture sources under evaluation),Japan,"Mitsui, TotalEnergies, PETRONAS",T&S,2023,2030,Planned,2,2,T&S,Dedicated storage,Offshore Malay CCS,East Asia & Pacific
Olso Celsio,Norway,"Hafslund Oslo Celsio (formerly Fortum Oslo Varme), Aker CC (FEED)",Capture,2016,2025,Planned,0.4,0.4,Power and heat,Dedicated storage,Northern Lights,Europe & Central Asia
OLYMPUS Holcim Milaki,Greece,"Holcim Group, Air Liquide",Capture,2023,2028,Planned,1,1,Cement,Dedicated storage,Prinos CO2 storage,Europe & Central Asia
Omifco ammonia capture,Oman,"OQ group, Omifco",Capture,2023,,Planned,,2.118,Hydrogen or ammonia,Unknown/unspecified,,Middle East & North Africa
One Earth Energy ethanol CCS (IL),United States,One Earth Energy,Capture,2020,2025,Planned,0.45,0.45,Biofuels,Dedicated storage,CarbonSAFE Illinois Storage Corridor (IL),North America
Opal Carbon Hub (ALB),Canada, Kiwetinohk Energy Corp.,Storage,2022,,Planned,,,Storage,Dedicated storage,Opal Carbon Hub (ALB),North America
Open Access Wabamun Carbon Hub (ALB),Canada,"Enbridge, Capital Power, Heidelberg Materials, First Nation Capital Investment Partnership (FNCIP)",Storage,2022,,Planned,4,4,Storage,Dedicated storage,Open Access Wabamun Carbon Hub (ALB),North America
Orchard (TX),United States,"Orchard Storage Company LLC, Elysian Ventures LLC, EnCap Flatrock Midstream, Buckeye Partners, Lonquist Sequestration",Storage,2022,,Planned,1,1,Storage,Unknown/unspecified,,North America
Origins project (ALB),Canada,Enhance Energy,T&S,2022,,Planned,20,20,T&S,Dedicated storage,Origins project (ALB),North America
Orion (AL),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2026,Planned,15,20,Storage,Dedicated storage,,North America
Orion CCS Project Phase 1,United Kingdom,"Prenco UK (licencee 80%), Carbon Catalyst Ltd (10%), Summit Energy Evolution Limited (Sumitomo) (10%)",Storage,2023,2031,Planned,1,1,Storage,Dedicated storage,,Europe & Central Asia
Orion CCS Project Phase 2,United Kingdom,"Prenco UK (licencee 80%), Carbon Catalyst Ltd (10%), Summit Energy Evolution Limited (Sumitomo) (10%)",Storage,2023,,Planned,5,5,Storage,Dedicated storage,,Europe & Central Asia
Orlen Lietuva,Lithuania,Orlen Lietuva,Capture,2022,2030,Planned,0.3,0.3,Other fuel transformation,Dedicated storage,"CCS Baltic Consortium, Klapeida terminal",Europe & Central Asia
Osage CCS 1 (OK),United States,CapturePoint LLC,Storage,2022,,Planned,,,Storage,Unknown/unspecified,Osage CCS 1 (OK),North America
Oxy DAC potential expansion scenario global 2030,EU,"1PointFive, Oxy low carbon ventures (Occidental)",Full chain,2022,2030,Planned,,38.2,DAC,Dedicated storage,,Europe & Central Asia
Oxy DAC potential expansion scenario US 2030,United States,"1PointFive, Oxy low carbon ventures (Occidental)",Full chain,2022,2030,Planned,,16.3,DAC,Dedicated storage,South Texas DAC Hub,North America
Oxy/ADNOC UAE DAC,United Arab Emirates,"Oxy low carbon ventures (Occidental), ADNOC",Capture,2023,,Planned,1,1,DAC,Dedicated storage,,Middle East & North Africa
Pannonia Bio refinery,Hungary,ClonBio Group,Full chain,2021,2026,Planned,0.5,0.5,Biofuels,Dedicated storage,,Europe & Central Asia
Papua LNG CCS,Papua New Guinea,TotalEnergies,Full chain,2018,2027,Planned,1,1,Natural gas processing/LNG,Dedicated storage,,East Asia & Pacific
Parc Adfer CCS ,United Kingdom,Enfinium,Capture,2023,,Planned,0.1,0.1,Power and heat,Dedicated storage,,Europe & Central Asia
Pathways alliance (ALB) (14 facilities),Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",Capture,2022,2030,Planned,11,12,Other fuel transformation,Dedicated storage,Oil Sands Pathways to Net Zero T&S (ALB),North America
Pathways Alliance (T&S) (ALB),Canada,"Pathways Alliance (CNRL, Cenovus Energy, ConocoPhilips, Imperial, MEG Energy, and Suncor)",T&S,2022,2030,Planned,11,12,T&S,Dedicated storage,Pathways Alliance (T&S) (ALB),North America
PCS Nitrogen Geismar Ammonia plant (LA),United States,"Nutrien, ExxonMobil (formerly Denbury carbon solutions)",Capture,2022,2027,Planned,1.5,1.8,Hydrogen or ammonia,Dedicated storage,Denbury Green pipeline /Gemini (LA),North America
PCS Nitrogen-Geismar plant (LA),United States,"Nutrien, ExxonMobil (formerly Denbury carbon solutions)",Full chain,2011,2013,Operational,0.25,0.3,Chemicals,EOR,,North America
Peak cluster transport,United Kingdom,"Progressive Energy, Breedon group",Transport,2023,2030,Planned,3,3,Transport,Dedicated storage,Peak cluster transport/Morecambe Net Zero Cluster,Europe & Central Asia
Pecos County Ultra Clean Fuels Refining (TX),United States,MMEX,Capture,2021,,Planned,,,Other fuel transformation,EOR,,North America
Pegasus (LA),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2027,Planned,15,10,Storage,Unknown/unspecified,,North America
Pelican Rindge Tract CCS Project (CA),United States,Pelican Renewables LLC ,Full Chain,2023,,Planned,2,2,Biofuels,Dedicated storage,,North America
Pelican sequestration hub (Livingston Parish) (LA),United States,"Pelican Sequestration Hub LLC (Oxy low carbon ventures, Occidental), and Rusheen Capital",Storage,2022,2025,Planned,6,6,Storage,Dedicated storage,EnLink midstream network/ Pelican sequestration hub,North America
Pembina low carbon complex,Canada,"Pembina Pipeline Corporation, Marubeni",Capture,2023,2027,Planned,,,Hydrogen or ammonia,Dedicated storage,Alberta Carbon Grid (ALB),North America
Pembroke Net Zero Centre (PNZC),United Kingdom,RWE,Capture,2022,2040,Planned,5.149,5.149,Power and heat,Dedicated storage,,Europe & Central Asia
Permian Regional Carbon Sequestration Hub (TX),United States,Omnia midstream partners,T&S,2023,,Planned,2,2,T&S,Unknown/unspecified,Permian Regional Carbon Sequestration Hub (TX),North America
Peterhead Carbon Capture Power Station,United Kingdom,"SSE Thermal, Equinor",Capture,2021,2030,Planned,1.5,1.5,Power and heat,Dedicated storage,Acorn CCS,Europe & Central Asia
Petra Nova Carbon Capture (TX),United States,"Equity: NRG and JX Nippon, Debt: JBIC & Mizhou bank (backed by NEXI)",Full chain,2009,2023,Operational,1.4,1.4,Power and heat,EOR,,North America
Petrobras Santos Basin pre-salt oilfield CCS,Brazil,Petrobas,Full chain,2011,2013,Operational,6.8,10.6,Natural gas processing/LNG,EOR,,Latin America & Caribbean
Petronas Kasawari gas field CCS project (Kasawari Phase 2 project),Malaysia,"Petronas, Technip, National Petroleum Construction Company, Worley (EPC), Kawasaki Heavy Industries, Malaysia Marine and Heavy Engineering Sdn Bhd (Compressor)",Full chain,2020,2025,Under construction,3.3,3.3,Natural gas processing/LNG,Dedicated storage,,East Asia & Pacific
Phillips 66 Humber refinery,United Kingdom,"Phillips 66, Babcock & Wilcox (FEED)",Capture,2021,2028,Planned,4,4,Other fuel transformation,Dedicated storage,Viking CCS,Europe & Central Asia
Phoenix project (TX),United States,Projeo Corporation,Storage,2023,,Planned,,,Storage,Dedicated storage,Phoenix project (TX),North America
Pieridae Caroline Carbon Capture Power Complex Phase 1 (ALB),Canada,Pieridae Energy Ltd.,Full chain,2021,,Planned,1,1,Power and heat,Dedicated storage,,North America
Pieridae Caroline Carbon Capture Power Complex Phase 2 (ALB),Canada,Pieridae Energy Ltd.,Full chain,2021,,Planned,2,2,Power and heat,Dedicated storage,,North America
Pincher Creek Carbon Sequestration Hub (ALB),Canada, West Lake Energy Corp.,Storage,2022,,Planned,2.7,2.7,Storage,Dedicated storage,Pincher Creek Carbon Sequestration Hub (ALB),North America
Pine Lake Corn Processors Steamboat Rock biorefinery (IA),United States,"Pine Lake Corn Processors, Summit Carbon Solutions",Capture,2021,2024,Planned,0.21,0.229,Biofuels,Dedicated storage,Midwest carbon express,North America
Pineywoods CCS hub (TX),United States,Pineywoods CCS hub LLC (Tenaska),Storage,2023,,Planned,,,Storage,Dedicated storage,Pineywoods CCS hub (TX),North America
Plant Daniel Carbon Capture (MS) ,United States,"Southern Company Services, Linde/BASF (FEED, tech provider)",Capture,2019,2025,Planned,1.8,1.8,Power and heat,Dedicated storage,Project ECO2S: Early CO2 Storage Complex in Kemper County (MS),North America
Plock plant,Poland,PKN Orlen,Capture,2023,2027,Planned,1,1,Chemicals,Dedicated storage,ECO2CEE,Europe & Central Asia
Plymouth Energy Merrill biorefinery (IA),United States,"Plymouth Energy, Summit Carbon Solutions",Capture,2021,2024,Planned,0.145,0.157,Biofuels,Dedicated storage,Midwest carbon express,North America
"POET 17 bioprocessing plants (IA, NE, SD)",United States,POET,Capture,2021,2025,Planned,5,5,Biofuels,Dedicated storage,Midwest carbon express,North America
Polaris offshore storage facility,Norway,"Horisont Energi, PGNiG Upstream Norway (operator)",Storage,2021,2028,Planned,6,8,Storage,Dedicated storage,Polaris offshore storage facility,Europe & Central Asia
Polk county hub (TX),United States,"1PointFive (Occidental Low carbon Venture), Natural Resource Partners",Storage,2022,,Planned,,,Storage,Dedicated storage,Polk county hub (TX),North America
Polk Power station NGCC/Polk carbon storage complex (FL),United States,"Tampa Electric Company, ION Clean Energy, DOE Office of Clean Energy Demonstrations (FEED funding)",Full chain,2022,,Planned,3,3,Power and heat,Dedicated storage,,North America
Port of Aalborg terminal and pipeline to Fyrkat (Norne carbon storage hub),Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator), KBR (FEED)",Transport,2022,2026,Planned,4,4,Transport,Dedicated storage,Norne carbon storage hub,Europe & Central Asia
Port of Corpus Christi-Mississippi pipeline (TX),United States,Howard Midstream Energy Partners LLC,Transport,2023,,Planned,250,250,Transport,Unknown/unspecified,Port of Corpus Christi-Mississippi pipeline,North America
Port of Kalundborg terminal and pipeline to Trelleborg phase 1 (Norne carbon storage hub),Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator)",Transport,2022,2026,Planned,4,4,Transport,Dedicated storage,Norne carbon storage hub,Europe & Central Asia
Port of Kalundborg terminal and pipeline to Trelleborg phase 2 (Norne carbon storage hub),Denmark,"Fidelis new energy, Gas Storage Denmark, Capio Danmark (PCI coordinator)",Transport,2022,2030,Planned,8,8,Transport,Dedicated storage,Norne carbon storage hub,Europe & Central Asia
Porthos offshore transport and storage,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",T&S,2018,2026,Under construction,2.5,2.5,T&S,Dedicated storage,Porthos,Europe & Central Asia
Porthos onshore transport,Netherlands,"Energie Beheer Nederland (EBN), Gasunie, and the Port of Rotterdam",Transport,2018,2026,Under construction,10,10,Transport,Dedicated storage,Porthos,Europe & Central Asia
Poseidon CO2 storage,Norway,"Aker BP (60%), OMV AS (4%)",Storage,2023,,Planned,5,5,Storage,Dedicated storage,Poseidon CO2 storage,Europe & Central Asia
Prairie State Generating Station Carbon Capture (IL),United States,"Prairie Research Institute (University of Illinois), Mitsubishi Heavy Industries, Kiewit Engineering Group, Sargent & Lundy",Capture,2019,2025,Planned,6.25,6.05,Power and heat,Dedicated storage,CarbonSAFE Illinois Storage Corridor (IL),North America
Prax Lindsey Oil Refinery Phase 1,United Kingdom,Prax,Capture,2021,2027,Planned,0.55,0.55,Other fuel transformation,Dedicated storage,Viking CCS,Europe & Central Asia
Prax Lindsey Oil Refinery Phase 2,United Kingdom,Prax,Capture,2021,2029,Planned,0.55,0.55,Other fuel transformation,Dedicated storage,Viking CCS,Europe & Central Asia
Preem CCS at Lysekil refinery,Sweden,"Preem, Aker solutions, Equinor",Capture,2018,2025,Planned,0.5,0.5,Other fuel transformation,Dedicated storage,Northern Lights,Europe & Central Asia
Prinos CCS phase 1,Greece,Energean,T&S,2021,2025,Planned,1,1,T&S,Dedicated storage,Prinos CO2 storage,Europe & Central Asia
Prinos CCS phase 2,Greece,Energean,T&S,2021,2027,Planned,2.5,2.5,T&S,Dedicated storage,Prinos CO2 storage,Europe & Central Asia
Prinos sigma plant,Greece,Energean,Capture,2022,2025,Planned,1,1,Natural gas processing/LNG,Dedicated storage,Prinos CO2 storage,Europe & Central Asia
Project Air Perstorp Oxo capture,Sweden,"Perstorp Oxo AB (capture and methanol), FORTUM SVERIGE AB (hydrogen), Sydkraft AB, Uniper, Sunfire (electrolyser), Johnson Matthey (methanol synthesis, FEED)",CCU,2020,2027,Planned,0.406,0.406,Chemicals,Use,,Europe & Central Asia
Project Bifrost Phase 1,Denmark," Danish Underground Consortium (TotalEnergies, Noreco, Nordsofonden), Orsted, TU Denmark",T&S,2021,2030,Planned,2.5,3,T&S,Dedicated storage,Project Bifrost,Europe & Central Asia
Project Bison (WY) Phase 1,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,2024,Planned,0.01,0.01,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project Bison (WY) Phase 2,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,2026,Planned,0.2,0.2,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project Bison (WY) Phase 3,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,2028,Planned,0.8,0.8,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project Bison (WY) Phase 4,United States,"CarbonCapture, Frontier Carbon Solutions",Capture,2022,2028,Planned,4,4,DAC,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
Project Blue (AR),United States,"Lapis Energy, LSB",Full chain,2022,2025,Planned,0.45,0.45,Hydrogen or ammonia,Dedicated storage,,North America
Project Cavendish Phase 1,United Kingdom,"Arup, VPI, National Grid Ventures, Shell, SSE Thermal, Uniper, Acorn
",Capture,2021,2026,Planned,1.2,1.2,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe & Central Asia
Project Cavendish Phase 2,United Kingdom,"Arup, VPI, National Grid Ventures, Shell, SSE Thermal, Uniper, Acorn
",Capture,2021,2026,Planned,1.8,1.8,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe & Central Asia
Project Clear Horizon - natural gas fired power plants (ALB),Canada, City of Medicine Hat,Capture,2022,,Planned,,,Power and heat,Dedicated storage,Project Clear Horizon (ALB),North America
Project Clear Horizon (ALB),Canada,City of Medicine Hat,T&S,2022,,Planned,3,3,T&S,Dedicated storage,Project Clear Horizon (ALB),North America
"Project Crossroads (IN, IL, MI)",United States,BP Carbon Solutions LLC,T&S,2023,,Planned,23,23,T&S,Dedicated storage,"Project Crossroads (IN, IL, MI)",North America
Project Greensand phase 1,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage), Aquaterra Energy (FEED)",T&S,2020,2026,Planned,1.5,1.5,T&S,Dedicated storage,Project Greensand,Europe & Central Asia
Project Greensand phase 2,Denmark,"INEOS E&P, Wintershell Dea, Welltec (storage)",T&S,2020,2030,Planned,6.5,6.5,T&S,Dedicated storage,Project Greensand,Europe & Central Asia
Project Hajar,Oman,"Mission Zero, 44.01",Full chain,2022,2024,Under construction,0.001,0.001,DAC,Dedicated storage,,Middle East & North Africa
Project Hummingbird,Kenya,Octavia carbon,Full chain,,2025,Planned,0.001,0.001,DAC,Dedicated storage,,Africa
Project Interseqt - Hereford Ethanol Plant (TX),United States,"White Energy, Oxy low carbon ventures (Occidental)",Full chain,2018,2024,Planned,0.35,0.35,Biofuels,EOR,,North America
Project Interseqt - Plainview Ethanol Plant (TX),United States,"White Energy, Oxy low carbon ventures (Occidental)",Full chain,2018,2024,Planned,0.35,0.35,Biofuels,EOR,,North America
Project Lochridge (Gulf of Mexico CCS Partnership Hub) (LA),United States,"Carbon Zero (Storage), Cox (field owner), Crescent Midstream (pipeline operator), Repsol",T&S,2022,2030,Planned,,,T&S,Dedicated storage,Project Lochridge (Gulf of Mexico CCS Partnership Hub) (LA),North America
Project OASIS Shelby County (AL),United States,Southern States Energy Board,Storage,2022,,Planned,,,Storage,Dedicated storage,Project OASIS Shelby County (AL),North America
Project Phoenix ammonia (WY),United States,"North Shore Energy, Starwood Energy Group",Full chain,2022,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,North America
Project Pouakai Hydrogen Production with CCS,New Zealand,"8Rivers, Toshiba, McDermott, Exelon, Oxy low carbon ventures (Occidental)",Full chain,2018,2024,Planned,1,1,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
Project Ruby (Rodby) phase 1,Denmark,"CarbonCuts, bluenord (funding)",Storage,2022,2030,Planned,1,1,Storage,Dedicated storage,,Europe & Central Asia
Project Ruby (Rodby) phase 2,Denmark,"CarbonCuts, bluenord (funding)",Storage,2022,,Planned,6.5,6.5,Storage,Dedicated storage,,Europe & Central Asia
Project Tellus - CS020 (Area 1),United Kingdom,Eni (following acquisition of Neptune Energy) (100%),Storage,2023,2030,Planned,7,10,Storage,Dedicated storage,Cygnus energy hub,Europe & Central Asia
Project Tellus - CS021 (Area 5),United Kingdom,"Eni (following acquisition of Neptune Energy) (50%), EEPUKL (50%)",Storage,2023,2033,Planned,5,6,Storage,Dedicated storage,Cygnus energy hub,Europe & Central Asia
Project Tellus - CS022 (Area 7),United Kingdom,Eni (following acquisition of Neptune Energy) (100%),Storage,2023,2033,Planned,5,6,Storage,Dedicated storage,Cygnus energy hub,Europe & Central Asia
Project Tundra at Milton R Young Station (ND),United States,Minnkota Power Cooperative Inc.,Capture,2018,2028,Planned,3.55,4,Power and heat,Dedicated storage,North Dakota CarbonSAFE (ND),North America
Project WyoTCH pipeline (WY),United States,"Carbon Solutions LLC, Enhanced Oil Recovery Institute of University of Wyoming",Transport,2023,,Planned,120,120,Transport,Unknown/unspecified,Wyoming Trails Carbon Hub,North America
Protos CO2 network phase 1,United Kingdom,"Peel NRE, Progressive Energy",Transport,2022,,Planned,0.8,0.8,Transport,Dedicated storage,Liverpool Bay CO2 storage,Europe & Central Asia
Protos CO2 network phase 2,United Kingdom,"Peel NRE, Progressive Energy",Transport,2022,,Planned,0.4,0.4,Transport,Dedicated storage,Liverpool Bay CO2 storage,Europe & Central Asia
PYCASSO hub phase 1 - eastern and western pipeline,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021,2030,Planned,1,1,T&S,Dedicated storage,PYCASSO hub,Europe & Central Asia
PYCASSO hub phase 2 - northern and cross-border pipeline,France,"Terega, Pole Avenia, Agglo Pau, Holcim Group, Université de Pau, BGRM, IFPEN, Schlumberger, Repsol, CNAM, geostock, geopetrol",T&S,2021,2035,Planned,4,4,T&S,Dedicated storage,PYCASSO hub,Europe & Central Asia
Qatar LNG,Qatar,"QatarEnergy LNG, ExxonMobil",Full chain,,2019,Operational,1.665,2.1,Natural gas processing/LNG,Dedicated storage,,Middle East & North Africa
Qatar North Field East Project CCS,Qatar,QatarEnergy LNG,Full chain,2018,2025,Under construction,3.6,4.3,Natural gas processing/LNG,Dedicated storage,,Middle East & North Africa
Quad County Corn Processors Galva biorefinery (IA),United States,"Quad County Corn Processors, Summit Carbon Solutions",Capture,2021,2024,Planned,0.1,0.109,Biofuels,Dedicated storage,Midwest carbon express,North America
Quest (ALB),Canada,"Canadian Natural Resources Limited, Shell, Chevron Canada",Full chain,2009,2015,Operational,1.1,1.1,Other fuel transformation,Dedicated storage,,North America
Ram River Carbon Sequestration Hub (ALB),Canada, Tidewater Midstream,Storage,2022,,Planned,,,Storage,Dedicated storage,Ram River Carbon Sequestration Hub (ALB),North America
Ramba CCUS/EOR,Indonesia,Pertamina,Full chain,2022,2032,Planned,,,Natural gas processing/LNG,EOR,,East Asia & Pacific
Ravenna CCS phase 2,Italy,"Eni, Snam",T&S,2020,2027,Planned,4,4,T&S,Dedicated storage,Ravenna CCS,Europe & Central Asia
Red Hills CO2 storage hub (MS),United States,Trifecta Renewable Solutions,Storage,2023,,Planned,1.8,1.8,Storage,Dedicated storage,Red Hills CO2 storage hub (MS),North America
Red Trail Energy BECCS Project (ND),United States,"Plains CO2 Reduction Partnership,  Energy & Environmental Research Centre,  Red Trail Energy",Full chain,2016,2022,Operational,0.18,0.18,Biofuels,Dedicated storage,,North America
Redcar Energy Centre EfW,United Kingdom,Redcar Energy (Low Carbon Ltd and PMAC Energy joint venture),Capture,2021,2025,Planned,0.4,0.4,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Redfield Energy biorefinery (ND),United States,"Red River BioRefinery, Summit Carbon Solutions",Capture,2021,2024,Planned,0.16,0.172,Biofuels,Dedicated storage,Midwest carbon express,North America
Removr Carbfix plant phase 1,Iceland,"Removr (Greencap 40%, Vanir Green Industries 60%), Carbfix",Full chain,2022,2025,Planned,0.002,0.002,DAC,Dedicated storage,,Europe & Central Asia
Removr Carbfix plant phase 2,Iceland,"Removr (Greencap 40%, Vanir Green Industries 60%), Carbfix",Full chain,2023,2027,Planned,0.098,0.098,DAC,Dedicated storage,,Europe & Central Asia
Returkraft Kristiansand,Norway,Returkraft,Capture,2023,2030,Planned,0.13,0.13,Power and heat,Dedicated storage,,Europe & Central Asia
Ringneck Energy & Feed Onida biorefinery (SD),United States,"Ringneck Energy, Summit Carbon Solutions",Capture,2021,2024,Planned,0.21,0.229,Biofuels,Dedicated storage,Midwest carbon express,North America
River Parish Sequestration (LA),United States,"River Parish Sequestration LLC, Blue Sky Infrastructure ",T&S,2023,,Planned,9.935,14,T&S,Dedicated storage,River Paris Sequestration (LA),North America
Rockpoint and Inter Pipeline Carbon Sequestration Hub,Canada,Inter Pipeline and Rockpoint Gas Storage,T&S,2022,,Planned,6,6,T&S,Dedicated storage,Rockpoint and Inter Pipeline Carbon Sequestration Hub,North America
Rocky Mountain Carbon Vault (ALB),Canada, Vault 44.01 Ltd.,Storage,2022,2027,Planned,,,Storage,Dedicated storage,Rocky Mountain Carbon Vault (ALB),North America
Rohm chemical plant (x2),Germany,"Rohm, Aker CC",CCU,2023,,Planned,0.5,0.5,Chemicals,Use,,Europe & Central Asia
Rolling Hills Carbon Sequestration Hub (ALB),Canada, AltaGas Ltd. and Whitecap Resources Inc.,Storage,2022,2026,Planned,5,5,Storage,Dedicated storage,Rolling Hills Carbon Sequestration Hub (ALB),North America
Roughrider Carbon Storage Hub (ND),United States,"University of North Dakota, ONEOK, EERC",Storage,2023,,Planned,,,Storage,Dedicated storage,Roughrider Carbon Storage Hub (ND),North America
Rumah1 and Rumah 2 plants,Saudi Arabia,SPPC,Capture,2024,,Planned,,2.861,Power and heat,Unknown/unspecified,,Middle East & North Africa
Russel CO2 storage complex (KS),United States,Purefield Carbon Capture LLC (Purefield ingredients),Full Chain,2020,,Planned,1,1,Other industry,Dedicated storage,,North America
RWE Amer power plant,Netherlands,RWE,Capture,2022,2032,Planned,6.25,7,Power and heat,Dedicated storage,Noorkaap,Europe & Central Asia
RWE CCGT Stallingborough,United Kingdom,"RWE, Technip Energies (pre-FEED)",Capture,2023,,Planned,1.87,1.87,Power and heat,Dedicated storage,Viking CCS,Europe & Central Asia
RWE CCGT Stallingborough,United Kingdom,RWE,Capture,2024,,Planned,0.6,0.6,Power and heat,Dedicated storage,,Europe & Central Asia
RWE CCGT Staythorpe (+ another new build?),United Kingdom,RWE,Capture,2022,,Planned,3.979,3.979,Power and heat,Dedicated storage,Viking CCS,Europe & Central Asia
RWE Eemshaven power plant,Netherlands,RWE,Capture,2022,2030,Planned,6.25,7,Power and heat,Dedicated storage,Noorkaap,Europe & Central Asia
Sailboat Green Methanol plant Shengong petrochemical (Jiangsu),China," Jiangsu Sailboat Petrochemicals, Carbon Recycling International",CCU,2021,,Planned,0.155,0.16,Chemicals,Use,,East Asia & Pacific
Saint-Gobain glass,United Kingdom,Saint-gobain glass,Capture,2021,,Planned,,,Other industry,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Saint-Pierre-la-Cour cement plant,France,Lafarge France (Holcim group),Capture,2023,2030,Planned,1,1,Cement,Dedicated storage,GoCO2,Europe & Central Asia
San Joaquin Renewables BCCS (CA),United States,Pelican Renewables LLC ,Storage,2021,,Planned,0.44,0.44,Storage,Dedicated storage,,North America
San Juan Basin CarbonSAFE (NM),United States,New Mexico Institute of Mining and Technology,Storage,2019,2025,Planned,,,Storage,Dedicated storage,San Juan Basin CarbonSAFE (NM),North America
Santos Bonaparte Basin storage,Australia,"Santos Offshore Pty Ltd (40% and Operator), Chevron Australia Pty Ltd (30%) and SK E&S (30%) ",Storage,2022,,Planned,,,Storage,Dedicated storage,Santos Bonaparte Basin storage,East Asia & Pacific
Santos Carnavon Basin storage (Reindeer CCS),Australia,Santos Offshore Pty Ltd (50% and Operator) and Chevron Australia Pty Ltd (50%),Storage,2022,2028,Planned,4.5,5,Storage,Dedicated storage,Santos Carnavon Basin storage (Reindeer CCS),East Asia & Pacific
Seal Sands TGEPL,United Kingdom,solar 21 Renewable Energy Limited,Capture,2021,,Planned,,,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
SEDAC hub (AL) phase 1,United States,"Southern States Energy Board, AirCapture, 8Rivers",Capture,2023,,Planned,0.05,0.05,DAC,Unknown/unspecified,,North America
SEDAC hub (AL) phase 2,United States,"Southern States Energy Board, AirCapture, 8Rivers",Capture,2023,,Planned,0.45,0.45,DAC,Unknown/unspecified,,North America
Setouchi / Shikoku CO2 Hub Concept (capture sources under evaluation),Japan,"Woodside Energy with Sumitomo Corporation, JFE Steel Corporation, Sumitomo Osaka Cement Co. Ltd and Kawasaki Kisen Kaisha, Ltd.",Transport,2023,,Planned,,,Transport,Dedicated storage,,East Asia & Pacific
Shah gas plant (Abu Dhabi CCS Phase 2),United Arab Emirates,ADNOC,Full chain,2020,2030,Planned,2.3,2.3,Natural gas processing/LNG,EOR,,Middle East & North Africa
Shand,Canada,Saskpower,Capture,2018,,Planned,2,2,Power and heat,EOR,,North America
Sharjah Hub ,United Arab Emirates,"Sharjah National Oil Corporation (SNOC), Sumitomo Middle East ",T&S,2023,,Planned,,,T&S,Dedicated storage,Sharjah Hub ,Middle East & North Africa
